# G(2) Function
# 2025-05-02 16:44:42
# Histogram Width = 16 ns
# Events Ch. 0 = 7.937e+07 
# Events Ch. 1 = 4.731e+07 
# Integr. Time = 00:12:31 h
# G(2) Norm = 314.8 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.6000000E-08 ;   1.0513830E+00
 -1.5937255E-08 ;   9.8467900E-01
 -1.5874510E-08 ;   1.0640890E+00
 -1.5811765E-08 ;   1.0482070E+00
 -1.5749020E-08 ;   1.0037370E+00
 -1.5686275E-08 ;   1.0291480E+00
 -1.5623529E-08 ;   1.0323250E+00
 -1.5560784E-08 ;   1.0418540E+00
 -1.5498039E-08 ;   9.7197300E-01
 -1.5435294E-08 ;   1.0545590E+00
 -1.5372549E-08 ;   9.5926800E-01
 -1.5309804E-08 ;   1.0164430E+00
 -1.5247059E-08 ;   9.7197300E-01
 -1.5184314E-08 ;   9.6244400E-01
 -1.5121569E-08 ;   9.6244400E-01
 -1.5058824E-08 ;   9.3703300E-01
 -1.4996078E-08 ;   9.8785500E-01
 -1.4933333E-08 ;   9.5609100E-01
 -1.4870588E-08 ;   9.9420800E-01
 -1.4807843E-08 ;   9.5609100E-01
 -1.4745098E-08 ;   9.5609100E-01
 -1.4682353E-08 ;   1.0069140E+00
 -1.4619608E-08 ;   9.5609100E-01
 -1.4556863E-08 ;   9.1479800E-01
 -1.4494118E-08 ;   1.0323250E+00
 -1.4431373E-08 ;   1.0958520E+00
 -1.4368627E-08 ;   1.0323250E+00
 -1.4305882E-08 ;   9.7515000E-01
 -1.4243137E-08 ;   1.0291480E+00
 -1.4180392E-08 ;   1.0863230E+00
 -1.4117647E-08 ;   1.0323250E+00
 -1.4054902E-08 ;   9.1797500E-01
 -1.3992157E-08 ;   9.8467900E-01
 -1.3929412E-08 ;   9.8150300E-01
 -1.3866667E-08 ;   1.0767940E+00
 -1.3803922E-08 ;   9.8150300E-01
 -1.3741176E-08 ;   1.0767940E+00
 -1.3678431E-08 ;   1.0736180E+00
 -1.3615686E-08 ;   1.1816150E+00
 -1.3552941E-08 ;   9.6562100E-01
 -1.3490196E-08 ;   1.0767940E+00
 -1.3427451E-08 ;   1.0863230E+00
 -1.3364706E-08 ;   9.7832600E-01
 -1.3301961E-08 ;   1.0831470E+00
 -1.3239216E-08 ;   8.9574000E-01
 -1.3176471E-08 ;   1.0323250E+00
 -1.3113725E-08 ;   9.2115100E-01
 -1.3050980E-08 ;   1.0164430E+00
 -1.2988235E-08 ;   1.0482070E+00
 -1.2925490E-08 ;   9.7832600E-01
 -1.2862745E-08 ;   9.2115100E-01
 -1.2800000E-08 ;   9.6562100E-01
 -1.2737255E-08 ;   9.9738400E-01
 -1.2674510E-08 ;   1.0291480E+00
 -1.2611765E-08 ;   1.0196190E+00
 -1.2549020E-08 ;   9.9103200E-01
 -1.2486275E-08 ;   9.3703300E-01
 -1.2423529E-08 ;   1.0545590E+00
 -1.2360784E-08 ;   1.0386780E+00
 -1.2298039E-08 ;   9.2115100E-01
 -1.2235294E-08 ;   9.6879700E-01
 -1.2172549E-08 ;   1.1022050E+00
 -1.2109804E-08 ;   1.0577360E+00
 -1.2047059E-08 ;   9.2115100E-01
 -1.1984314E-08 ;   1.0100900E+00
 -1.1921569E-08 ;   9.6562100E-01
 -1.1858824E-08 ;   9.6244400E-01
 -1.1796078E-08 ;   9.4021000E-01
 -1.1733333E-08 ;   9.6562100E-01
 -1.1670588E-08 ;   9.9420800E-01
 -1.1607843E-08 ;   1.0895000E+00
 -1.1545098E-08 ;   9.6244400E-01
 -1.1482353E-08 ;   9.0209300E-01
 -1.1419608E-08 ;   1.0482070E+00
 -1.1356863E-08 ;   9.6879700E-01
 -1.1294118E-08 ;   1.0227960E+00
 -1.1231373E-08 ;   9.9738400E-01
 -1.1168627E-08 ;   1.0767940E+00
 -1.1105882E-08 ;   1.0196190E+00
 -1.1043137E-08 ;   1.0831470E+00
 -1.0980392E-08 ;   1.0895000E+00
 -1.0917647E-08 ;   1.1149110E+00
 -1.0854902E-08 ;   1.0450300E+00
 -1.0792157E-08 ;   1.1244400E+00
 -1.0729412E-08 ;   1.0482070E+00
 -1.0666667E-08 ;   1.1276160E+00
 -1.0603922E-08 ;   9.5609100E-01
 -1.0541176E-08 ;   9.7197300E-01
 -1.0478431E-08 ;   9.4338600E-01
 -1.0415686E-08 ;   9.7515000E-01
 -1.0352941E-08 ;   1.0227960E+00
 -1.0290196E-08 ;   1.0418540E+00
 -1.0227451E-08 ;   1.0609120E+00
 -1.0164706E-08 ;   9.7197300E-01
 -1.0101961E-08 ;   9.5926800E-01
 -1.0039216E-08 ;   1.0926760E+00
 -9.9764706E-09 ;   1.0227960E+00
 -9.9137255E-09 ;   9.8785500E-01
 -9.8509804E-09 ;   1.0640890E+00
 -9.7882353E-09 ;   9.8785500E-01
 -9.7254902E-09 ;   9.4973900E-01
 -9.6627451E-09 ;   1.0069140E+00
 -9.6000000E-09 ;   1.0418540E+00
