# G(2) Function
# 2025-05-06 11:48:16
# Histogram Width = 3 ns
# Events Ch. 0 = 4.378e+08 
# Events Ch. 1 = 4.259e+08 
# Integr. Time = 01:02:27 h
# G(2) Norm = 149.3 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -3.0000000E-09 ;   7.3685200E-01
 -2.9970674E-09 ;   9.7800400E-01
 -2.9941349E-09 ;   1.0047990E+00
 -2.9912023E-09 ;   1.1387720E+00
 -2.9882698E-09 ;   1.2794440E+00
 -2.9853372E-09 ;   8.1723600E-01
 -2.9824047E-09 ;   1.2258550E+00
 -2.9794721E-09 ;   8.9092200E-01
 -2.9765396E-09 ;   7.1675600E-01
 -2.9736070E-09 ;   1.1387720E+00
 -2.9706745E-09 ;   1.3330330E+00
 -2.9677419E-09 ;   1.2526490E+00
 -2.9648094E-09 ;   7.6364700E-01
 -2.9618768E-09 ;   9.1771600E-01
 -2.9589443E-09 ;   9.5121000E-01
 -2.9560117E-09 ;   8.6412700E-01
 -2.9530792E-09 ;   1.4067190E+00
 -2.9501466E-09 ;   1.1990600E+00
 -2.9472141E-09 ;   1.1186760E+00
 -2.9442815E-09 ;   7.8374300E-01
 -2.9413490E-09 ;   9.2441500E-01
 -2.9384164E-09 ;   8.7082600E-01
 -2.9354839E-09 ;   1.0382920E+00
 -2.9325513E-09 ;   8.9092200E-01
 -2.9296188E-09 ;   7.5025000E-01
 -2.9266862E-09 ;   1.3732250E+00
 -2.9237537E-09 ;   1.0717850E+00
 -2.9208211E-09 ;   9.7800400E-01
 -2.9178886E-09 ;   6.0287900E-01
 -2.9149560E-09 ;   1.0047990E+00
 -2.9120235E-09 ;   1.1320730E+00
 -2.9090909E-09 ;   9.1771600E-01
 -2.9061584E-09 ;   7.8374300E-01
 -2.9032258E-09 ;   1.0382920E+00
 -2.9002933E-09 ;   8.1723600E-01
 -2.8973607E-09 ;   9.1771600E-01
 -2.8944282E-09 ;   1.1655670E+00
 -2.8914956E-09 ;   1.3062390E+00
 -2.8885630E-09 ;   9.0431900E-01
 -2.8856305E-09 ;   9.5121000E-01
 -2.8826979E-09 ;   1.0784840E+00
 -2.8797654E-09 ;   8.4403100E-01
 -2.8768328E-09 ;   9.2441500E-01
 -2.8739003E-09 ;   1.1320730E+00
 -2.8709677E-09 ;   7.2345500E-01
 -2.8680352E-09 ;   1.0985800E+00
 -2.8651026E-09 ;   9.2441500E-01
 -2.8621701E-09 ;   9.7130600E-01
 -2.8592375E-09 ;   1.0516900E+00
 -2.8563050E-09 ;   1.0181960E+00
 -2.8533724E-09 ;   1.2861430E+00
 -2.8504399E-09 ;   6.7656400E-01
 -2.8475073E-09 ;   8.5742800E-01
 -2.8445748E-09 ;   9.1771600E-01
 -2.8416422E-09 ;   1.0248950E+00
 -2.8387097E-09 ;   9.9810000E-01
 -2.8357771E-09 ;   7.9714000E-01
 -2.8328446E-09 ;   9.1101800E-01
 -2.8299120E-09 ;   1.4402120E+00
 -2.8269795E-09 ;   1.1119770E+00
 -2.8240469E-09 ;   8.5742800E-01
 -2.8211144E-09 ;   9.7800400E-01
 -2.8181818E-09 ;   9.1771600E-01
 -2.8152493E-09 ;   9.4451100E-01
 -2.8123167E-09 ;   8.5742800E-01
 -2.8093842E-09 ;   8.7082600E-01
 -2.8064516E-09 ;   1.0248950E+00
 -2.8035191E-09 ;   8.4403100E-01
 -2.8005865E-09 ;   1.1454710E+00
 -2.7976540E-09 ;   8.3733200E-01
 -2.7947214E-09 ;   8.3733200E-01
 -2.7917889E-09 ;   1.1320730E+00
 -2.7888563E-09 ;   8.7082600E-01
 -2.7859238E-09 ;   9.7130600E-01
