# G(2) Function
# 2025-05-02 16:05:19
# Histogram Width = 16 ns
# Events Ch. 0 = 2.119e+08 
# Events Ch. 1 = 2.034e+08 
# Integr. Time = 00:59:30 h
# G(2) Norm = 24.1 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.6000000E-08 ;   9.5291100E-01
 -1.5998047E-08 ;   1.1600660E+00
 -1.5996093E-08 ;   1.3672210E+00
 -1.5994140E-08 ;   6.6289500E-01
 -1.5992187E-08 ;   6.2146400E-01
 -1.5990233E-08 ;   8.7004900E-01
 -1.5988280E-08 ;   7.4575600E-01
 -1.5986326E-08 ;   1.0357730E+00
 -1.5984373E-08 ;   1.0772040E+00
 -1.5982420E-08 ;   7.0432600E-01
 -1.5980466E-08 ;   9.9434200E-01
 -1.5978513E-08 ;   1.4086520E+00
 -1.5976560E-08 ;   1.1600660E+00
 -1.5974606E-08 ;   1.3672210E+00
 -1.5972653E-08 ;   6.2146400E-01
 -1.5970700E-08 ;   1.2429280E+00
 -1.5968746E-08 ;   9.9434200E-01
 -1.5966793E-08 ;   5.8003300E-01
 -1.5964839E-08 ;   3.3144700E-01
 -1.5962886E-08 ;   9.9434200E-01
 -1.5960933E-08 ;   7.4575600E-01
 -1.5958979E-08 ;   1.6572370E+00
 -1.5957026E-08 ;   1.4500830E+00
 -1.5955073E-08 ;   1.5743750E+00
 -1.5953119E-08 ;   1.0357730E+00
 -1.5951166E-08 ;   5.3860200E-01
 -1.5949213E-08 ;   6.6289500E-01
 -1.5947259E-08 ;   1.3672210E+00
 -1.5945306E-08 ;   1.1186350E+00
 -1.5943352E-08 ;   7.0432600E-01
 -1.5941399E-08 ;   1.1600660E+00
 -1.5939446E-08 ;   9.1148000E-01
 -1.5937492E-08 ;   1.4500830E+00
 -1.5935539E-08 ;   1.1600660E+00
 -1.5933586E-08 ;   1.4915130E+00
 -1.5931632E-08 ;   9.5291100E-01
 -1.5929679E-08 ;   3.3144700E-01
 -1.5927726E-08 ;   5.8003300E-01
 -1.5925772E-08 ;   1.0357730E+00
 -1.5923819E-08 ;   7.8718700E-01
 -1.5921865E-08 ;   1.5743750E+00
 -1.5919912E-08 ;   5.8003300E-01
 -1.5917959E-08 ;   9.5291100E-01
 -1.5916005E-08 ;   1.2843590E+00
