# G(2) Function
# 2025-05-02 11:19:34
# Histogram Width = 16 ns
# Events Ch. 0 = 1.416e+08 
# Events Ch. 1 = 2.051e+08 
# Integr. Time = 00:19:36 h
# G(2) Norm = 395 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.3949950E-08 ;   9.0624200E-01
 -1.3933934E-08 ;   1.0657210E+00
 -1.3917918E-08 ;   1.0555950E+00
 -1.3901902E-08 ;   9.3915100E-01
 -1.3885886E-08 ;   1.0252180E+00
 -1.3869870E-08 ;   9.7459000E-01
 -1.3853854E-08 ;   1.0758470E+00
 -1.3837838E-08 ;   8.9105400E-01
 -1.3821822E-08 ;   1.0707840E+00
 -1.3805806E-08 ;   1.0530640E+00
 -1.3789790E-08 ;   1.0252180E+00
 -1.3773774E-08 ;   1.0277500E+00
 -1.3757758E-08 ;   9.9990400E-01
 -1.3741742E-08 ;   1.0480010E+00
 -1.3725726E-08 ;   1.0454700E+00
 -1.3709710E-08 ;   1.0353440E+00
 -1.3693694E-08 ;   1.0404070E+00
 -1.3677678E-08 ;   9.8977900E-01
 -1.3661662E-08 ;   9.7965300E-01
 -1.3645646E-08 ;   1.0302810E+00
 -1.3629630E-08 ;   9.8471600E-01
 -1.3613614E-08 ;   1.0252180E+00
 -1.3597598E-08 ;   9.6193300E-01
 -1.3581582E-08 ;   9.9990400E-01
 -1.3565566E-08 ;   9.3915100E-01
 -1.3549550E-08 ;   1.0074990E+00
 -1.3533534E-08 ;   9.0624200E-01
 -1.3517518E-08 ;   1.0454700E+00
 -1.3501502E-08 ;   1.0302810E+00
 -1.3485485E-08 ;   9.2396200E-01
 -1.3469469E-08 ;   9.8977900E-01
 -1.3453453E-08 ;   1.0100300E+00
 -1.3437437E-08 ;   9.6699600E-01
 -1.3421421E-08 ;   1.1290060E+00
 -1.3405405E-08 ;   9.6952800E-01
 -1.3389389E-08 ;   1.1036920E+00
 -1.3373373E-08 ;   1.0226870E+00
 -1.3357357E-08 ;   1.0252180E+00
 -1.3341341E-08 ;   9.7712200E-01
 -1.3325325E-08 ;   9.9737300E-01
 -1.3309309E-08 ;   1.0378750E+00
 -1.3293293E-08 ;   1.0986290E+00
 -1.3277277E-08 ;   1.1011610E+00
 -1.3261261E-08 ;   1.0074990E+00
 -1.3245245E-08 ;   9.4927600E-01
 -1.3229229E-08 ;   1.0176240E+00
 -1.3213213E-08 ;   1.0024360E+00
 -1.3197197E-08 ;   1.0809090E+00
 -1.3181181E-08 ;   1.0201560E+00
 -1.3165165E-08 ;   1.0176240E+00
 -1.3149149E-08 ;   9.7712200E-01
 -1.3133133E-08 ;   9.4421300E-01
 -1.3117117E-08 ;   1.0404070E+00
 -1.3101101E-08 ;   1.0150930E+00
 -1.3085085E-08 ;   9.7712200E-01
 -1.3069069E-08 ;   1.1138180E+00
 -1.3053053E-08 ;   1.0074990E+00
 -1.3037037E-08 ;   9.7459000E-01
 -1.3021021E-08 ;   1.0252180E+00
 -1.3005005E-08 ;   9.4421300E-01
 -1.2988989E-08 ;   9.3155600E-01
 -1.2972973E-08 ;   1.0733150E+00
 -1.2956957E-08 ;   9.4421300E-01
 -1.2940941E-08 ;   1.0074990E+00
 -1.2924925E-08 ;   9.9231000E-01
 -1.2908909E-08 ;   9.7459000E-01
 -1.2892893E-08 ;   9.7965300E-01
 -1.2876877E-08 ;   9.8977900E-01
 -1.2860861E-08 ;   1.1543200E+00
 -1.2844845E-08 ;   9.2902500E-01
 -1.2828829E-08 ;   9.9231000E-01
 -1.2812813E-08 ;   8.8346000E-01
 -1.2796797E-08 ;   9.7205900E-01
 -1.2780781E-08 ;   9.9737300E-01
 -1.2764765E-08 ;   9.3155600E-01
 -1.2748749E-08 ;   9.9231000E-01
 -1.2732733E-08 ;   1.1062230E+00
 -1.2716717E-08 ;   9.9990400E-01
 -1.2700701E-08 ;   1.0049670E+00
 -1.2684685E-08 ;   9.7205900E-01
 -1.2668669E-08 ;   1.0606580E+00
 -1.2652653E-08 ;   1.0328130E+00
 -1.2636637E-08 ;   1.0302810E+00
 -1.2620621E-08 ;   9.2649400E-01
 -1.2604605E-08 ;   1.0834410E+00
 -1.2588589E-08 ;   9.6699600E-01
 -1.2572573E-08 ;   9.9231000E-01
 -1.2556557E-08 ;   1.0176240E+00
 -1.2540541E-08 ;   1.0226870E+00
 -1.2524525E-08 ;   9.2143100E-01
 -1.2508509E-08 ;   1.0226870E+00
 -1.2492492E-08 ;   9.7712200E-01
 -1.2476476E-08 ;   1.1011610E+00
 -1.2460460E-08 ;   8.4802000E-01
 -1.2444444E-08 ;   1.1644460E+00
 -1.2428428E-08 ;   9.5940200E-01
 -1.2412412E-08 ;   9.6193300E-01
 -1.2396396E-08 ;   1.0530640E+00
 -1.2380380E-08 ;   9.6699600E-01
