# G(2) Function
# 2025-05-07 12:25:57
# Histogram Width = 10 ns
# Events Ch. 0 = 7.151e+08 
# Events Ch. 1 = 5.388e+07 
# Integr. Time = 01:01:54 h
# G(2) Norm = 518.7 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.0000000E-08 ;   9.3504500E-01
 -9.9497487E-09 ;   1.0372260E+00
 -9.8994975E-09 ;   1.0565050E+00
 -9.8492462E-09 ;   9.9866700E-01
 -9.7989950E-09 ;   1.0083070E+00
 -9.7487437E-09 ;   1.0102350E+00
 -9.6984925E-09 ;   9.8710000E-01
 -9.6482412E-09 ;   9.8710000E-01
 -9.5979899E-09 ;   1.0584330E+00
 -9.5477387E-09 ;   9.4661300E-01
 -9.4974874E-09 ;   9.6010900E-01
 -9.4472362E-09 ;   1.0237300E+00
 -9.3969849E-09 ;   9.6203600E-01
 -9.3467337E-09 ;   9.9095500E-01
 -9.2964824E-09 ;   1.0680730E+00
 -9.2462312E-09 ;   1.0121630E+00
 -9.1959799E-09 ;   1.0430100E+00
 -9.1457286E-09 ;   1.0005950E+00
 -9.0954774E-09 ;   9.9095500E-01
 -9.0452261E-09 ;   1.0680730E+00
 -8.9949749E-09 ;   9.9288300E-01
 -8.9447236E-09 ;   9.6396400E-01
 -8.8944724E-09 ;   1.0430100E+00
 -8.8442211E-09 ;   9.6203600E-01
 -8.7939698E-09 ;   9.6589200E-01
 -8.7437186E-09 ;   1.0275860E+00
 -8.6934673E-09 ;   1.0275860E+00
 -8.6432161E-09 ;   1.0796400E+00
 -8.5929648E-09 ;   9.9481100E-01
 -8.5427136E-09 ;   9.9866700E-01
 -8.4924623E-09 ;   9.2733400E-01
 -8.4422111E-09 ;   1.0275860E+00
 -8.3919598E-09 ;   9.6782000E-01
 -8.3417085E-09 ;   9.4082900E-01
 -8.2914573E-09 ;   9.6396400E-01
 -8.2412060E-09 ;   1.0083070E+00
