# G(2) Function
# 2025-05-07 15:52:56
# Histogram Width = 6 ns
# Events Ch. 0 = 2.797e+08 
# Events Ch. 1 = 2.935e+08 
# Integr. Time = 00:54:51 h
# G(2) Norm = 748.2 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -2.1407035E-09 ;   1.0412010E+00
 -2.1105528E-09 ;   1.0091230E+00
 -2.0804020E-09 ;   1.0037760E+00
 -2.0502513E-09 ;   1.0024400E+00
 -2.0201005E-09 ;   1.0224880E+00
 -1.9899497E-09 ;   1.0104590E+00
 -1.9597990E-09 ;   9.6902500E-01
 -1.9296482E-09 ;   1.1000100E+00
 -1.8994975E-09 ;   9.5699600E-01
 -1.8693467E-09 ;   1.1187230E+00
 -1.8391960E-09 ;   1.0331810E+00
 -1.8090452E-09 ;   9.5164900E-01
 -1.7788945E-09 ;   1.0077860E+00
 -1.7487437E-09 ;   9.4496600E-01
 -1.7185930E-09 ;   8.9684900E-01
 -1.6884422E-09 ;   9.7570800E-01
 -1.6582915E-09 ;   9.7838100E-01
 -1.6281407E-09 ;   1.0077860E+00
 -1.5979899E-09 ;   9.9575700E-01
 -1.5678392E-09 ;   9.5298600E-01
 -1.5376884E-09 ;   9.0887900E-01
 -1.5075377E-09 ;   1.0037760E+00
 -1.4773869E-09 ;   1.0559030E+00
 -1.4472362E-09 ;   1.0171420E+00
 -1.4170854E-09 ;   1.0639230E+00
 -1.3869347E-09 ;   9.5432300E-01
 -1.3567839E-09 ;   9.9575700E-01
 -1.3266332E-09 ;   9.9843000E-01
 -1.2964824E-09 ;   1.0291710E+00
 -1.2663317E-09 ;   1.0171420E+00
 -1.2361809E-09 ;   1.0037760E+00
 -1.2060302E-09 ;   9.7437100E-01
 -1.1758794E-09 ;   9.8372700E-01
 -1.1457286E-09 ;   1.0933280E+00
 -1.1155779E-09 ;   1.0532300E+00
 -1.0854271E-09 ;   1.0238250E+00
 -1.0552764E-09 ;   1.0652590E+00
 -1.0251256E-09 ;   1.0438740E+00
 -9.9497487E-10 ;   1.0224880E+00
 -9.6482412E-10 ;   1.0171420E+00
 -9.3467337E-10 ;   1.0104590E+00
 -9.0452261E-10 ;   1.0131320E+00
 -8.7437186E-10 ;   1.0652590E+00
 -8.4422111E-10 ;   9.7971800E-01
 -8.1407035E-10 ;   1.0799620E+00
 -7.8391960E-10 ;   9.8506400E-01
 -7.5376884E-10 ;   1.0051130E+00
 -7.2361809E-10 ;   1.1053570E+00
 -6.9346734E-10 ;   1.0759520E+00
 -6.6331658E-10 ;   1.0184790E+00
 -6.3316583E-10 ;   1.0665960E+00
 -6.0301508E-10 ;   1.0665960E+00
 -5.7286432E-10 ;   1.0853080E+00
 -5.4271357E-10 ;   1.0719420E+00
 -5.1256281E-10 ;   1.0625860E+00
 -4.8241206E-10 ;   1.0011030E+00
 -4.5226131E-10 ;   1.0385270E+00
 -4.2211055E-10 ;   1.0799620E+00
 -3.9195980E-10 ;   1.0064490E+00
 -3.6180905E-10 ;   9.8907400E-01
 -3.3165829E-10 ;   1.0011030E+00
 -3.0150754E-10 ;   1.0104590E+00
 -2.7135678E-10 ;   9.7303500E-01
 -2.4120603E-10 ;   9.7971800E-01
 -2.1105528E-10 ;   9.9976600E-01
 -1.8090452E-10 ;   9.6902500E-01
 -1.5075377E-10 ;   9.8372700E-01
 -1.2060302E-10 ;   9.7838100E-01
 -9.0452261E-11 ;   9.8773700E-01
 -6.0301508E-11 ;   1.0331810E+00
 -3.0150754E-11 ;   1.0639230E+00
  0.0000000E+00 ;   9.4630300E-01
  3.0150754E-11 ;   9.9843000E-01
  6.0301508E-11 ;   1.0585760E+00
  9.0452261E-11 ;   1.0144690E+00
  1.2060302E-10 ;   9.5966900E-01
  1.5075377E-10 ;   8.8214700E-01
  1.8090452E-10 ;   9.6234200E-01
  2.1105528E-10 ;   1.0077860E+00
  2.4120603E-10 ;   1.0425370E+00
  2.7135678E-10 ;   9.5565900E-01
  3.0150754E-10 ;   9.8506400E-01
  3.3165829E-10 ;   1.0452100E+00
  3.6180905E-10 ;   9.6234200E-01
  3.9195980E-10 ;   9.8773700E-01
  4.2211055E-10 ;   1.0412010E+00
  4.5226131E-10 ;   9.5966900E-01
  4.8241206E-10 ;   1.0264980E+00
  5.1256281E-10 ;   9.9976600E-01
  5.4271357E-10 ;   9.3828300E-01
  5.7286432E-10 ;   9.5833200E-01
  6.0301508E-10 ;   9.6100500E-01
  6.3316583E-10 ;   1.0345180E+00
  6.6331658E-10 ;   9.8506400E-01
  6.9346734E-10 ;   1.0211520E+00
  7.2361809E-10 ;   9.2090800E-01
  7.5376884E-10 ;   1.0077860E+00
  7.8391960E-10 ;   9.8640100E-01
  8.1407035E-10 ;   1.0238250E+00
  8.4422111E-10 ;   9.9174700E-01
  8.7437186E-10 ;   1.0037760E+00
  9.0452261E-10 ;   9.7838100E-01
  9.3467337E-10 ;   1.0425370E+00
  9.6482412E-10 ;   1.0184790E+00
  9.9497487E-10 ;   9.5833200E-01
  1.0251256E-09 ;   1.0224880E+00
  1.0552764E-09 ;   9.7437100E-01
  1.0854271E-09 ;   1.0572400E+00
  1.1155779E-09 ;   1.0331810E+00
  1.1457286E-09 ;   1.0345180E+00
  1.1758794E-09 ;   9.8506400E-01
  1.2060302E-09 ;   9.9442000E-01
  1.2361809E-09 ;   9.8105400E-01
  1.2663317E-09 ;   1.0198150E+00
  1.2964824E-09 ;   1.0438740E+00
  1.3266332E-09 ;   9.6367900E-01
  1.3567839E-09 ;   1.0331810E+00
  1.3869347E-09 ;   9.5298600E-01
  1.4170854E-09 ;   1.0465470E+00
  1.4472362E-09 ;   9.8640100E-01
  1.4773869E-09 ;   9.9709300E-01
  1.5075377E-09 ;   1.0933280E+00
  1.5376884E-09 ;   1.0091230E+00
  1.5678392E-09 ;   9.7838100E-01
  1.5979899E-09 ;   9.5565900E-01
  1.6281407E-09 ;   1.0465470E+00
  1.6582915E-09 ;   9.8506400E-01
  1.6884422E-09 ;   9.7303500E-01
  1.7185930E-09 ;   1.0077860E+00
  1.7487437E-09 ;   1.0104590E+00
  1.7788945E-09 ;   9.2491800E-01
  1.8090452E-09 ;   9.7704400E-01
  1.8391960E-09 ;   9.8105400E-01
  1.8693467E-09 ;   9.6902500E-01
  1.8994975E-09 ;   9.1823500E-01
  1.9296482E-09 ;   9.8239100E-01
  1.9597990E-09 ;   9.1556200E-01
  1.9899497E-09 ;   9.1957100E-01
  2.0201005E-09 ;   9.1823500E-01
  2.0502513E-09 ;   9.7036200E-01
  2.0804020E-09 ;   9.5298600E-01
  2.1105528E-09 ;   9.6234200E-01
  2.1407035E-09 ;   9.5164900E-01
  2.1708543E-09 ;   8.7011800E-01
  2.2010050E-09 ;   9.8372700E-01
  2.2311558E-09 ;   9.8372700E-01
  2.2613065E-09 ;   9.7704400E-01
  2.2914573E-09 ;   9.1556200E-01
  2.3216080E-09 ;   9.6234200E-01
  2.3517588E-09 ;   9.7036200E-01
  2.3819095E-09 ;   1.0211520E+00
  2.4120603E-09 ;   9.8640100E-01
  2.4422111E-09 ;   9.9843000E-01
  2.4723618E-09 ;   1.0492200E+00
  2.5025126E-09 ;   9.7704400E-01
  2.5326633E-09 ;   1.0331810E+00
  2.5628141E-09 ;   1.0692690E+00
  2.5929648E-09 ;   9.8640100E-01
  2.6231156E-09 ;   9.5298600E-01
  2.6532663E-09 ;   1.0278350E+00
  2.6834171E-09 ;   1.0011030E+00
  2.7135678E-09 ;   9.9843000E-01
  2.7437186E-09 ;   1.0358540E+00
  2.7738693E-09 ;   1.0024400E+00
  2.8040201E-09 ;   9.7971800E-01
  2.8341709E-09 ;   1.0144690E+00
