# G(2) Function
# 2025-05-08 11:11:57
# Histogram Width = 10 ns
# Events Ch. 0 = 6.51e+08 
# Events Ch. 1 = 6.938e+08 
# Integr. Time = 02:06:44 h
# G(2) Norm = 594 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
 -1.0000000E-08 ;   1.0775200E+00
 -9.9899900E-09 ;   8.5864900E-01
 -9.9799800E-09 ;   1.2795550E+00
 -9.9699700E-09 ;   8.6538300E-01
 -9.9599600E-09 ;   9.2094300E-01
 -9.9499499E-09 ;   1.0135420E+00
 -9.9399399E-09 ;   1.0118590E+00
 -9.9299299E-09 ;   9.8155300E-01
 -9.9199199E-09 ;   9.6640100E-01
 -9.9099099E-09 ;   9.2262700E-01
 -9.8998999E-09 ;   1.0034410E+00
 -9.8898899E-09 ;   1.0623680E+00
 -9.8798799E-09 ;   7.6099800E-01
 -9.8698699E-09 ;   1.1869560E+00
 -9.8598599E-09 ;   1.0169100E+00
 -9.8498498E-09 ;   9.0242300E-01
 -9.8398398E-09 ;   1.0320620E+00
 -9.8298298E-09 ;   1.0219600E+00
 -9.8198198E-09 ;   1.0236440E+00
 -9.8098098E-09 ;   8.8053600E-01
 -9.7997998E-09 ;   1.0084910E+00
 -9.7897898E-09 ;   9.3104500E-01
 -9.7797798E-09 ;   1.0640510E+00
 -9.7697698E-09 ;   9.1420800E-01
 -9.7597598E-09 ;   8.6875100E-01
 -9.7497497E-09 ;   1.0792040E+00
 -9.7397397E-09 ;   9.3946300E-01
 -9.7297297E-09 ;   9.5966600E-01
 -9.7197197E-09 ;   9.8323700E-01
 -9.7097097E-09 ;   1.0068080E+00
 -9.6996997E-09 ;   9.9670600E-01
 -9.6896897E-09 ;   9.8997200E-01
 -9.6796797E-09 ;   1.0169100E+00
 -9.6696697E-09 ;   1.0691020E+00
 -9.6596597E-09 ;   9.1252500E-01
 -9.6496496E-09 ;   8.7716900E-01
 -9.6396396E-09 ;   1.0758370E+00
 -9.6296296E-09 ;   8.2834400E-01
 -9.6196196E-09 ;   9.6303400E-01
 -9.6096096E-09 ;   9.6471700E-01
 -9.5995996E-09 ;   9.3104500E-01
 -9.5895896E-09 ;   9.5966600E-01
